Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
PlayFirstPreLoadScreen - FPreLoadScreenManager::Get()->Initialize,2,9.192106,0.215755,3.912289,4.128039,0.215749,4.129861,4.129867,0.000006,0.000006,0.215749,0.107878,0.152554,
FGTAOHorizonSearchAndIntegrateCS,10,21.039167,0.215243,6.313922,6.323832,0.009910,6.757513,6.789226,0.031713,0.005011,0.090318,0.021524,0.025441,
FDiaphragmDOFReduceCS,30,3007.247466,0.212151,6.464508,6.468194,0.003686,6.469696,6.474484,0.004788,0.002210,0.022599,0.007072,0.004407,
RHIGetRenderQueryResult_GPU_Wait,1072,415.995589,0.211606,8.211532,8.211534,0.000002,10.788482,10.788482,0.000001,0.000000,0.031037,0.000197,0.001163,
GPUBound_WaitingForGPUForOcclusionQueries_SeeGPUTrack,132,51.224172,0.211085,8.211529,8.211534,0.000006,10.787293,10.788437,0.001144,0.000001,0.031038,0.001599,0.002966,
Engine Classes,1,4.837761,0.206707,4.646626,4.853333,0.206707,4.646626,4.853333,0.206707,0.206707,0.206707,0.206707,0.000000,
AllocatePlacedTexture,108,53.372275,0.205447,8.067655,8.076765,0.009110,10.091028,10.091178,0.000150,0.000021,0.011226,0.001902,0.002608,
FWaitingQueue_Unpark_SignalWaitingThread,24503,2986.733384,0.203015,3.832024,3.832029,0.000005,12.035967,12.035970,0.000003,0.000001,0.002041,0.000008,0.000028,
UEngine::InitializeObjectReferences,1,4.936329,0.202580,5.573889,5.776469,0.202580,5.573889,5.776469,0.202580,0.202580,0.202580,0.202580,0.000000,
MainThreadWaitingOnAsyncLoadingThread,61,25.115633,0.198143,5.574145,5.591148,0.017002,8.002270,8.002911,0.000641,0.000000,0.018034,0.003248,0.004887,
Platform Initialization,1,5.176811,0.193169,2.554942,2.748111,0.193169,2.554942,2.748111,0.193169,0.193169,0.193169,0.193169,0.000000,
FWindowsPlatformMisc::StartNetworkConnectionMonitoring,1,5.188767,0.192724,2.555227,2.747951,0.192724,2.555227,2.747951,0.192724,0.192724,0.192724,0.192724,0.000000,
FSubsurfaceIndirectDispatchCS,15,-1731.162071,0.191809,6.346845,6.359000,0.012155,6.328872,6.338180,0.009308,0.003231,0.022170,0.012787,0.005721,
Slate_FlushFontCache,1,5.261220,0.190070,8.011605,8.201676,0.190070,8.011605,8.201676,0.190070,0.190070,0.190070,0.190070,0.000000,
ProcessVisibilityTasks,188,66.280536,0.189781,8.008499,8.008526,0.000027,10.844912,10.844927,0.000015,0.000009,0.030927,0.001009,0.002560,
RHICmdList_FlushRHIThread,103,12.810128,0.189459,3.893102,3.893127,0.000025,11.930515,11.933615,0.003100,0.000011,0.104391,0.001839,0.010367,
