Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
Scene/Visibility/Relevance/NumPrimitivesPerPacket,1,1.000000,32,7.199562,32,7.199562,32,32,32.000000,0.000000,
Scene/Visibility/Relevance/NumPrimitivesProcessed,3,1.264426,8,7.196211,5,9.568829,5,8,6.666667,1.527525,
TransientAllocator/ResourceCreateCount,10,4.662596,78,7.455834,0,9.600562,0,78,17.500000,28.012894,
TransientAllocator/TextureCreateCount,9,4.196336,69,7.455834,0,9.600562,0,69,17.111111,26.093315,
TransientAllocator/TextureCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/TextureCacheSize,11,4.258649,68,7.278396,73,9.861375,68,127,91.818182,23.857151,
TransientAllocator/TextureCacheHitPercentage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TransientAllocator/BufferCreateCount,9,4.196336,9,7.455834,0,9.600562,0,9,2.222222,3.032234,
TransientAllocator/BufferCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/BufferCacheSize,7,3.037881,9,7.278396,21,9.582634,9,21,14.857143,4.298394,
TransientAllocator/BufferCacheHitPercentage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TransientAllocator/PageMapCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/PageAllocateCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/PageSpanCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/MemoryRangeCount,1,1.000000,1,7.455833,1,7.455833,1,1,1.000000,0.000000,
TransientAllocator/MemoryUsed,1,1.000000,134217728,7.455834,134217728,7.455834,134217728,134217728,134217728.000000,0.000000,
TransientAllocator/MemoryRequested,2,10.973407,59244544,7.455835,65142784,7.638094,59244544,65142784,62193664.000000,4170685.501066,
AudioSourceManager Qd Cmds,720,195.115849,1,7.474430,0,11.164546,0,56,8.369444,11.508341,
Mass Active Processors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Execution Concurrency HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Global Concurrency HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Active Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Execution Chunk HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Global Chunk HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSectioned/Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSectioned/Entries,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Entries,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Invalidated,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/BlockingStorage/FrontBuffer,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/BlockingStorage/BackBuffer,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/LinearStrategyCache/CurrentSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/LinearStrategyCache/InvalidSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/SerializedBytes (compressed),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/ThroughputBytes (decompressed),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/Cache/HitRatio,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
